Day,Percent_positivity,Percent_positivity_7daysAvg,Calculated_MA
6/25/2020,18,19,
6/26/2020,17,19,
6/27/2020,19,19,
6/28/2020,23,19,
6/29/2020,14,18,
6/30/2020,18,18,
07/01/2020,20,18,18.43
07/02/2020,17,18,18.29
07/03/2020,18,18,18.43
07/04/2020,24,19,19.14
07/05/2020,24,19,19.29
07/06/2020,19,20,20
07/07/2020,15,20,19.57
07/08/2020,14,19,18.71
07/09/2020,12,18,18
07/10/2020,14,18,17.43
07/11/2020,12,16,15.71
07/12/2020,24,16,15.71
7/13/2020,17,16,15.43
7/14/2020,14,15,15.29
7/15/2020,13,15,15.14
7/16/2020,16,16,15.71
7/17/2020,10,15,15.14
7/18/2020,12,15,15.14
7/19/2020,14,14,13.71
7/20/2020,13,13,13.14
7/21/2020,14,13,13.14
7/22/2020,11,13,12.86
7/23/2020,12,12,12.29
7/24/2020,14,13,12.86
7/25/2020,16,13,13.43
7/26/2020,12,13,13.14
7/27/2020,11,12,12.86
7/28/2020,12,12,12.57
7/29/2020,10,12,12.43
7/30/2020,10,12,12.14
7/31/2020,11,11,11.71
08/01/2020,14,11,11.43
08/02/2020,10,11,11.14
08/03/2020,12,11,11.29
08/04/2020,10,11,11
08/05/2020,11,11,11.14
08/06/2020,7,11,10.71
08/07/2020,9,11,10.43
08/08/2020,12,10,10.14
08/09/2020,13,11,10.57
08/10/2020,9,10,10.14
08/11/2020,9,10,10
08/12/2020,10,10,9.86
8/13/2020,9,10,10.14
8/14/2020,9,10,10.14
8/15/2020,10,10,9.86
8/16/2020,11,9,9.57
8/17/2020,9,9,9.57
8/18/2020,8,9,9.43
8/19/2020,9,9,9.29
8/20/2020,9,9,9.29
8/21/2020,6,9,8.86
8/22/2020,13,9,9.29
8/23/2020,11,9,9.29
8/24/2020,7,9,9
8/25/2020,7,9,8.86
8/26/2020,8,9,8.71
8/27/2020,9,9,8.71
8/28/2020,8,9,9
8/29/2020,11,9,8.71
8/30/2020,19,10,9.86
8/31/2020,6,10,9.71
09/01/2020,10,,10.14
09/02/2020,4,,9.57
09/03/2020,8,,9.43
09/04/2020,10,,9.71
09/05/2020,13,,10
09/06/2020,10,,8.71
09/07/2020,12,,9.57
09/08/2020,8,,9.29
09/09/2020,9,,10
09/10/2020,6,,9.71
09/11/2020,7,,9.29
09/12/2020,17,,9.86
9/13/2020,20,,11.29
9/14/2020,10,,11
9/15/2020,8,,11.14
9/16/2020,10,,
9/17/2020,6,,
9/18/2020,7,,
9/19/2020,13,,
9/20/2020,8,,
9/21/2020,8,,
9/22/2020,10,,
9/23/2020,10,,
9/24/2020,13,,
